i,data.theta_m1,data.theta_l1,data.delta_theta_r1,data.Trr_ad,data.theta_m2,data.theta_l2,data.delta_theta_r2,data.Trr_cf
397,25.110000610351562,11.77197265625,13.338027954101562,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
398,25.118436813354492,11.77197265625,13.346464157104492,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
399,25.125469207763672,11.77197265625,13.353496551513672,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
400,25.160625457763672,11.77197265625,13.388652801513672,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
401,25.184532165527344,11.77197265625,13.412559509277344,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
402,25.183124542236328,11.77197265625,13.411151885986328,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
403,25.24640655517578,11.8079833984375,13.438423156738281,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
404,25.233749389648438,11.8079833984375,13.425765991210938,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
405,25.301250457763672,11.8079833984375,13.493267059326172,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
406,25.299842834472656,11.8079833984375,13.491859436035156,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
407,25.299842834472656,11.843994140625,13.455848693847656,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
408,25.339218139648438,11.843994140625,13.495223999023438,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
409,25.406719207763672,11.843994140625,13.562725067138672,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
410,25.408124923706055,11.8800048828125,13.528120040893555,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
411,25.406719207763672,11.8800048828125,13.526714324951172,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
412,25.441875457763672,11.8800048828125,13.561870574951172,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
